Date,Open,High,Low,Close,Volume
4/1/1988,2015.25,2030,1950.76,2015.25,0
5/1/1988,2031.5,2075.59,2021.38,2031.5,0
6/1/1988,2037.8,2058.19,2012.76,2037.8,0
7/1/1988,2051.89,2061.5,2004.64,2051.89,0
8/1/1988,1911.31,2058.68,1898.04,1911.31,0
11/1/1988,1945.13,1958.88,1886.93,1945.13,0
12/1/1988,1928.55,1950.76,1877.98,1928.55,0
13/1/1988,1924.73,1959.55,1884.95,1924.73,0
14/1/1988,1916.11,1940.15,1894.06,1916.11,0
15/1/1988,1956.07,1988.39,1942.47,1956.07,0
18/1/1988,1963.86,1977.45,1938.99,1963.86,0
19/1/1988,1936.34,1977.29,1923.41,1936.34,0
20/1/1988,1879.14,1934.84,1857.92,1879.14,0
21/1/1988,1879.31,1903.35,1845.98,1879.31,0
22/1/1988,1903.51,1911.8,1876.16,1903.51,0
25/1/1988,1946.45,1960.54,1897.05,1946.45,0
26/1/1988,1920.59,1957.72,1906.5,1920.59,0
27/1/1988,1911.14,1951.75,1889.42,1911.14,0
28/1/1988,1930.04,1944.13,1904.34,1930.04,0
29/1/1988,1958.22,1967.67,1921.09,1958.22,0
1/2/1988,1944.63,1985.41,1935.84,1944.63,0
2/2/1988,1952.92,1965.02,1921.09,1952.92,0
3/2/1988,1924.57,1971.98,1906.99,1924.57,0
4/2/1988,1923.57,1941.48,1902.85,1923.57,0
5/2/1988,1910.48,1940.32,1906.32,1910.48,0
8/2/1988,1895.72,1911.14,1877.98,1895.72,0
9/2/1988,1914.46,1921.58,1885.77,1914.46,0
10/2/1988,1962.04,1967.84,1916.77,1962.04,0
11/2/1988,1961.54,1982.43,1942.8,1961.54,0
12/2/1988,1983.26,1995.69,1958.05,1983.26,0
16/2/1988,2005.97,2010.44,1969.82,2005.97,0
17/2/1988,2000.99,2026.19,1982.59,2000.99,0
18/2/1988,1986.57,2011.93,1972.81,1986.57,0
19/2/1988,2014.59,2018.9,1973.31,2014.59,0
22/2/1988,2040.29,2051.72,1998.67,2040.29,0
23/2/1988,2039.12,2057.03,2017.24,2039.12,0
24/2/1988,2039.95,2061.34,2022.88,2039.95,0
25/2/1988,2017.57,2078.08,2006.96,2017.57,0
26/2/1988,2023.21,2034.81,2004.97,2023.21,0
29/2/1988,2071.62,2074.6,2023.7,2071.62,0
1/3/1988,2070.46,2086.87,2048.57,2070.46,0
2/3/1988,2071.29,2094.49,2058.19,2071.29,0
3/3/1988,2063.49,2085.38,2048.41,2063.49,0
4/3/1988,2057.86,2070.75,2033.32,2057.86,0
7/3/1988,2056.37,2069.3,2034.15,2056.37,0
8/3/1988,2081.07,2090.02,2055.04,2081.07,0
