Date,Open,High,Low,Close,Volume
4/1/1988,1713.900024,1713.900024,1713.900024,1713.900024,0
5/1/1988,1778.400024,1798.300049,1778.400024,1789.599976,0
6/1/1988,1789.599976,1810.300049,1783.199951,1787.099976,0
7/1/1988,1787.099976,1806.400024,1784.800049,1787.199951,0
8/1/1988,1787.199951,1798.699951,1773.300049,1773.400024,0
11/1/1988,1763.699951,1763.699951,1725.699951,1760.199951,0
12/1/1988,1760.199951,1769.400024,1739.199951,1739.199951,0
13/1/1988,1737.900024,1737.900024,1711.5,1733.400024,0
14/1/1988,1741.099976,1752.400024,1741.099976,1743.400024,0
15/1/1988,1743.400024,1793.599976,1734.900024,1786.699951,0
18/1/1988,1789.900024,1806.300049,1789.900024,1790,0
19/1/1988,1779.400024,1779.400024,1757.599976,1768,0
20/1/1988,1767.800049,1767.800049,1748.800049,1752.800049,0
21/1/1988,1752.800049,1754.5,1733.099976,1747.199951,0
22/1/1988,1760.099976,1777.599976,1760.099976,1770.900024,0
25/1/1988,1767.400024,1767.400024,1757.300049,1762.199951,0
26/1/1988,1763.599976,1773.300049,1763.599976,1767.300049,0
27/1/1988,1766.400024,1766.400024,1758.099976,1765.199951,0
28/1/1988,1765.199951,1783.900024,1763.300049,1783.900024,0
29/1/1988,1787.800049,1793.300049,1787.800049,1790.800049,0
1/2/1988,1790.800049,1807.300049,1773.199951,1776.900024,0
2/2/1988,1776.900024,1784.5,1772.800049,1774.400024,0
3/2/1988,1774.400024,1775.800049,1756.900024,1766.300049,0
4/2/1988,1766.300049,1769.5,1758,1766.900024,0
5/2/1988,1766.300049,1766.300049,1732,1737.800049,0
8/2/1988,1709.800049,1709.800049,1690,1694.5,0
9/2/1988,1700,1711.800049,1700,1707.199951,0
10/2/1988,1707.199951,1718.699951,1705,1718.5,0
11/2/1988,1727.400024,1737.900024,1727.400024,1729.800049,0
12/2/1988,1729.800049,1734.900024,1727.599976,1734,0
15/2/1988,1739,1742.599976,1739,1739.199951,0
16/2/1988,1739.199951,1743.5,1734.900024,1734.900024,0
17/2/1988,1737.5,1750.5,1737.5,1748.099976,0
18/2/1988,1748.099976,1749.699951,1735.900024,1736.099976,0
19/2/1988,1733.300049,1733.300049,1722.599976,1729.800049,0
22/2/1988,1732.300049,1749.199951,1732.300049,1747.199951,0
23/2/1988,1757,1772.199951,1757,1757.900024,0
24/2/1988,1757.900024,1761.900024,1756,1760.099976,0
25/2/1988,1764.300049,1782.400024,1764.300049,1782.400024,0
26/2/1988,1781.599976,1781.599976,1765,1766.5,0
29/2/1988,1766.5,1770.699951,1759,1768.800049,0
1/3/1988,1781,1783.800049,1781,1781.900024,0
2/3/1988,1783,1808.699951,1783,1808.699951,0
3/3/1988,1812.099976,1826.400024,1812.099976,1813.300049,0
4/3/1988,1813.400024,1846.599976,1813.400024,1834.5,0
7/3/1988,1833.599976,1833.599976,1809.400024,1818.199951,0
8/3/1988,1818.199951,1821.5,1809,1815,0
9/3/1988,1815.099976,1826,1815.099976,1815.300049,0
10/3/1988,1815.300049,1834.900024,1807.800049,1834.599976,0
11/3/1988,1834,1834,1806,1811.599976,0
14/3/1988,1817,1820.599976,1817,1819.5,0
15/3/1988,1828.5,1847.599976,1828.5,1836.5,0
16/3/1988,1836.5,1841.300049,1821.599976,1825.699951,0
17/3/1988,1825.699951,1828.099976,1811.300049,1828.099976,0
18/3/1988,1844.400024,1855.699951,1844.400024,1855.5,0
21/3/1988,1853,1853,1841,1841.099976,0
22/3/1988,1841.099976,1843.099976,1835.400024,1835.400024,0
23/3/1988,1834.099976,1834.099976,1828.099976,1832.199951,0
24/3/1988,1827.900024,1827.900024,1782.699951,1782.699951,0
25/3/1988,1780.199951,1780.199951,1759.400024,1767.900024,0
28/3/1988,1756.699951,1756.699951,1740,1746.5,0
29/3/1988,1757.099976,1766.900024,1757.099976,1765.099976,0
30/3/1988,1765.099976,1775.800049,1756.900024,1756.900024,0
31/3/1988,1747.099976,1747.099976,1739,1742.5,0
1/4/1988,1742.5,1742.5,1742.5,1742.5,0
4/4/1988,1742.5,1742.5,1742.5,1742.5,0
5/4/1988,1737.800049,1737.800049,1725.400024,1737.599976,0
6/4/1988,1745,1759.099976,1745,1745,0
7/4/1988,1758.400024,1767.400024,1758.400024,1761,0
8/4/1988,1761,1781.199951,1758.099976,1779.699951,0
11/4/1988,1797,1810.5,1797,1810.5,0
12/4/1988,1810.5,1820.099976,1804,1805.300049,0
13/4/1988,1809,1816.599976,1809,1810.400024,0
14/4/1988,1810.400024,1826.800049,1781,1787.199951,0
15/4/1988,1782.599976,1782.599976,1763.099976,1778.599976,0
18/4/1988,1787.800049,1802.400024,1787.800049,1787.800049,0
19/4/1988,1792,1798.900024,1792,1798.900024,0
20/4/1988,1798.900024,1800.099976,1783.199951,1786.800049,0
21/4/1988,1786.800049,1792.099976,1780,1791.900024,0
22/4/1988,1789.5,1789.5,1770,1771.599976,0
25/4/1988,1771.599976,1777.900024,1770,1777.599976,0
26/4/1988,1786,1801.300049,1786,1800.800049,0
27/4/1988,1806,1813.900024,1806,1806.300049,0
28/4/1988,1806.300049,1809.5,1795.900024,1804.400024,0
29/4/1988,1804.400024,1810.699951,1796,1802.199951,0
2/5/1988,1802.199951,1802.199951,1802.199951,1802.199951,0
3/5/1988,1802.199951,1809.699951,1801.300049,1807.199951,0
4/5/1988,1807.199951,1809.199951,1794.699951,1794.699951,0
5/5/1988,1794.699951,1797.199951,1788.699951,1789.5,0
6/5/1988,1793.699951,1801.699951,1793.699951,1801.099976,0
9/5/1988,1801.099976,1805.199951,1794,1794.900024,0
10/5/1988,1792.599976,1792.599976,1782.800049,1792.599976,0
11/5/1988,1786.800049,1786.800049,1752,1756.800049,0
12/5/1988,1759.900024,1773.400024,1759.900024,1772.300049,0
13/5/1988,1779.599976,1782.800049,1779.599976,1781.800049,0
16/5/1988,1781.800049,1788.900024,1776.599976,1776.599976,0
17/5/1988,1782.300049,1800.5,1782.300049,1789.199951,0
18/5/1988,1780.900024,1780.900024,1773,1777.599976,0
19/5/1988,1764.400024,1764.400024,1753.300049,1760.599976,0
20/5/1988,1769.900024,1774.699951,1769.900024,1770.199951,0
23/5/1988,1770.199951,1771.199951,1761.099976,1761.300049,0
24/5/1988,1764.400024,1783.599976,1764.400024,1782.900024,0
25/5/1988,1785,1796.699951,1785,1787.900024,0
26/5/1988,1787.900024,1788.099976,1782.5,1785.300049,0
27/5/1988,1785.300049,1786,1779.199951,1783.699951,0
30/5/1988,1783.699951,1783.699951,1783.699951,1783.699951,0
31/5/1988,1783.699951,1785.599976,1777.800049,1784.5,0
1/6/1988,1798.900024,1806.900024,1798.900024,1805.699951,0
2/6/1988,1805.699951,1813.599976,1802.599976,1810.300049,0
3/6/1988,1814.099976,1822,1814.099976,1819.199951,0
6/6/1988,1819.199951,1832.699951,1816.5,1832.699951,0
7/6/1988,1832.699951,1839.900024,1818.400024,1820.199951,0
8/6/1988,1820.199951,1828.199951,1813.300049,1828.199951,0
