Date,Open,High,Low,Close,Volume
4/1/1988,2238.100098,2286.300049,2238.100098,2286.300049,0
5/1/1988,2370.100098,2403.199951,2370.100098,2403.199951,0
6/1/1988,2446.100098,2463,2436.800049,2463,0
7/1/1988,2446.699951,2452.5,2446.699951,2452.5,0
8/1/1988,2474.399902,2474.399902,2460.699951,2460.699951,0
11/1/1988,2414.899902,2428.800049,2400.800049,2400.800049,0
12/1/1988,2452.399902,2454.800049,2442.399902,2442.399902,0
13/1/1988,2429.199951,2429.199951,2383.800049,2383.800049,0
14/1/1988,2407.399902,2411.5,2393.899902,2411.5,0
15/1/1988,2428,2429.800049,2428,2429.800049,0
18/1/1988,2508.600098,2512.199951,2508.600098,2512.199951,0
19/1/1988,2509.699951,2509.699951,2488.199951,2488.199951,0
20/1/1988,2472.899902,2484.300049,2472.899902,2484.300049,0
21/1/1988,2445.899902,2445.899902,2412.300049,2412.300049,0
22/1/1988,2410.300049,2422.399902,2409.800049,2422.399902,0
25/1/1988,2418.100098,2419.600098,2407.300049,2407.300049,0
26/1/1988,2392.300049,2426.100098,2392.300049,2426.100098,0
27/1/1988,2399.399902,2412.600098,2399.399902,2412.600098,0
28/1/1988,2406.699951,2412.699951,2406.699951,2412.699951,0
29/1/1988,2420,2420,2409.699951,2409.699951,0
1/2/1988,2374,2377.399902,2358.300049,2358.300049,0
2/2/1988,2337.199951,2337.199951,2298.5,2298.5,0
3/2/1988,2303.100098,2354.5,2303.100098,2354.5,0
4/2/1988,2316.300049,2316.300049,2295.300049,2295.300049,0
5/2/1988,2296.699951,2306.899902,2292.600098,2292.600098,0
8/2/1988,2252.600098,2252.600098,2223.600098,2223.600098,0
9/2/1988,2233.600098,2233.699951,2223,2223,0
10/2/1988,2233.899902,2240.699951,2233.5,2233.5,0
11/2/1988,2251.899902,2256.5,2245.399902,2256.5,0
12/2/1988,2274.899902,2292,2274.899902,2287.199951,0
15/2/1988,2312.300049,2312.300049,2301.800049,2301.800049,0
16/2/1988,2307.399902,2328,2307.399902,2328,0
22/2/1988,2345.699951,2347.199951,2344.600098,2347.199951,0
23/2/1988,2346.899902,2346.899902,2329.399902,2329.399902,0
24/2/1988,2337.399902,2338.199951,2336,2336,0
25/2/1988,2328.600098,2355.899902,2328.600098,2355.899902,0
26/2/1988,2374.399902,2387,2374.399902,2383.899902,0
29/2/1988,2413.699951,2418.100098,2413.699951,2418.100098,0
1/3/1988,2446.399902,2454.699951,2437.699951,2454.699951,0
2/3/1988,2455.100098,2462.100098,2455.100098,2462.100098,0
3/3/1988,2455.399902,2468.5,2455.399902,2468.5,0
4/3/1988,2458.699951,2472.399902,2458.699951,2472.399902,0
7/3/1988,2478.199951,2494.899902,2470.399902,2470.399902,0
8/3/1988,2474.199951,2493.300049,2474.199951,2493.300049,0
9/3/1988,2526.600098,2551.800049,2526.600098,2551.800049,0
10/3/1988,2584.399902,2598.300049,2584.399902,2591.300049,0
11/3/1988,2567,2595.5,2567,2595.5,0
14/3/1988,2612.600098,2612.600098,2584.699951,2584.699951,0
15/3/1988,2578.800049,2578.899902,2568.399902,2578.899902,0
16/3/1988,2560,2560,2553.899902,2555,0
17/3/1988,2570,2581.300049,2570,2581.300049,0
18/3/1988,2613.100098,2618.399902,2607.600098,2607.600098,0
21/3/1988,2610.800049,2610.800049,2602.800049,2602.800049,0
22/3/1988,2588.300049,2594.800049,2585.800049,2594.800049,0
23/3/1988,2599,2599,2561.899902,2561.899902,0
24/3/1988,2570.699951,2578,2546.399902,2546.399902,0
