Date,Open,High,Low,Close,Volume
1/4/2005,118.629997,118.989998,116.910004,117.43,95255300
4/4/2005,117.360001,117.860001,116.739998,117.629997,71581200
5/4/2005,117.779999,118.379997,117.669998,118.190002,46853900
6/4/2005,118.449997,118.949997,118.18,118.599998,53268200
7/4/2005,118.410004,119.260002,118.32,119.239998,46734600
8/4/2005,119.169998,119.209999,118,118,63772900
11/4/2005,118.290001,118.419998,117.830002,118.089996,44945000
12/4/2005,117.889999,119.059998,117.07,118.699997,86144800
13/4/2005,118.559998,118.800003,117.129997,117.300003,65949000
14/4/2005,117.400002,117.5,115.769997,115.769997,96119800
15/4/2005,115.739998,116.199997,114.099998,114.150002,128677300
18/4/2005,114.120003,114.959999,113.959999,114.5,100035200
19/4/2005,115.099998,115.529999,114.830002,115.410004,64930100
20/4/2005,115.379997,115.629997,113.550003,113.800003,107735900
21/4/2005,114.790001,116.209999,114.379997,116.010002,86952200
22/4/2005,115.739998,116.5,114.269997,115.57,88845800
25/4/2005,115.860001,116.5,115.720001,116.330002,52284100
26/4/2005,115.959999,116.769997,115.150002,115.199997,72626000
27/4/2005,114.860001,116.07,114.440002,115.650002,84131900
28/4/2005,115.269997,115.68,114.199997,114.199997,72481500
29/4/2005,115.07,115.870003,113.970001,115.75,103993800
2/5/2005,116.07,116.410004,115.519997,116.400002,56026400
3/5/2005,116.07,116.849998,115.690002,116.599998,86000300
4/5/2005,116.650002,117.75,116.279999,117.5,81055700
5/5/2005,117.669998,118,116.739998,117.459999,96906700
6/5/2005,117.93,117.989998,117.059998,117.089996,67415400
9/5/2005,117.209999,118.080002,117.050003,117.82,43750500
10/5/2005,117.360001,117.5,116.389999,116.599998,74613500
11/5/2005,116.93,117.400002,115.849998,117.239998,91647400
12/5/2005,117.32,117.589996,115.949997,115.949997,95086800
13/5/2005,116.300003,116.620003,114.800003,115.720001,85267000
16/5/2005,115.699997,116.839996,115.660004,116.800003,49207000
17/5/2005,116.410004,117.699997,116.160004,117.580002,61071800
18/5/2005,118.089996,119.080002,118.010002,118.790001,77944900
