Date,Open,High,Low,Close,Volume
1/4/2005,24.059999,24.059999,23.549999,23.625,142200
4/4/2005,23.775,23.780001,23.59,23.754999,43800
5/4/2005,23.775,23.905001,23.635,23.700001,70200
6/4/2005,23.915001,24.040001,23.875,23.92,96000
7/4/2005,23.9,24.08,23.790001,24.02,48600
8/4/2005,24,24.025,23.825001,23.825001,62200
11/4/2005,24,24,23.875,23.915001,89000
12/4/2005,23.860001,23.950001,23.594999,23.950001,252000
13/4/2005,23.969999,24,23.709999,23.754999,58800
14/4/2005,23.514999,23.514999,23.15,23.15,97400
15/4/2005,23.075001,23.075001,22.635,22.76,224600
18/4/2005,22.700001,22.76,22.575001,22.700001,86200
19/4/2005,23,23.165001,23,23.155001,107200
20/4/2005,23.09,23.115,22.775,22.790001,60800
21/4/2005,23.125,23.305,22.985001,23.305,154200
22/4/2005,23.280001,23.299999,23.049999,23.139999,35600
25/4/2005,23.174999,23.355,23.094999,23.355,67800
26/4/2005,23.27,23.4,23.200001,23.209999,123800
27/4/2005,23.18,23.200001,23,23.1,77200
28/4/2005,23.040001,23.040001,22.625,22.625,62400
29/4/2005,22.995001,23.049999,22.709999,23.049999,40800
2/5/2005,23.1,23.165001,23.004999,23.155001,61200
3/5/2005,23,23.139999,22.995001,22.995001,117600
4/5/2005,23.275,23.815001,23.275,23.795,622200
5/5/2005,23.870001,24.004999,23.645,23.809999,222000
6/5/2005,23.860001,24.094999,23.83,23.924999,251000
9/5/2005,23.82,24.049999,23.65,24.004999,248400
10/5/2005,23.715,23.799999,23.5,23.51,148000
11/5/2005,23.575001,23.65,23.405001,23.645,41200
12/5/2005,23.6,23.68,23.155001,23.225,106000
13/5/2005,23.295,23.325001,23.004999,23.17,83800
16/5/2005,23.145,23.379999,23.09,23.325001,42600
17/5/2005,23.26,23.41,23.15,23.355,139200
18/5/2005,23.459999,24.030001,23.459999,23.924999,518800
19/5/2005,23.855,23.905001,23.735001,23.825001,54400
20/5/2005,23.665001,23.705,23.525,23.6,70800
23/5/2005,23.559999,23.684999,23.459999,23.625,56000
24/5/2005,23.6,23.629999,23.450001,23.620001,49200
25/5/2005,23.625,23.625,23.379999,23.530001,64200
26/5/2005,23.635,23.73,23.549999,23.625,45600
27/5/2005,23.83,23.945,23.780001,23.93,69000
31/5/2005,23.875,23.879999,23.65,23.719999,130200
1/6/2005,23.5,23.885,23.450001,23.85,194800
2/6/2005,23.92,24.059999,23.865,24.059999,271400
3/6/2005,24.059999,24.25,23.940001,24,46000
6/6/2005,24.15,24.23,24.040001,24.209999,91800
7/6/2005,24.165001,24.275,24.07,24.084999,228200
8/6/2005,24.17,24.205,23.975,23.98,52000
9/6/2005,24.040001,24.18,23.950001,24.15,81600
10/6/2005,24.315001,24.325001,24.049999,24.165001,69600
13/6/2005,24.135,24.235001,24.049999,24.15,112600
14/6/2005,24.16,24.245001,24.125,24.24,45800
15/6/2005,24.485001,24.584999,24.334999,24.584999,59200
16/6/2005,24.629999,24.995001,24.629999,24.955,88600
17/6/2005,24.940001,25.045,24.85,25.035,61400
20/6/2005,24.950001,25.045,24.795,24.950001,333000
21/6/2005,24.875,24.875,24.775,24.805,120600
22/6/2005,25.040001,25.040001,24.889999,25.004999,63800
23/6/2005,25.01,25.030001,24.504999,24.635,129400
24/6/2005,24.684999,24.719999,24.5,24.5,49000
27/6/2005,24.59,24.705,24.5,24.6,124400
28/6/2005,24.690001,24.844999,24.639999,24.799999,35600
29/6/2005,24.665001,24.719999,24.565001,24.719999,136400
30/6/2005,24.745001,24.75,24.5,24.540001,87600
1/7/2005,24.775,24.795,24.58,24.764999,23200
5/7/2005,24.450001,24.805,24.309999,24.805,233400
6/7/2005,24.575001,24.705,24.549999,24.615,174200
7/7/2005,24.389999,24.610001,24.254999,24.6,71600
8/7/2005,24.6,24.780001,24.549999,24.75,35400
11/7/2005,24.9,25.24,24.9,25.15,96200
12/7/2005,25.275,25.5,25.275,25.455,57200
13/7/2005,25.434999,25.475,25.375,25.450001,42200
14/7/2005,25.790001,25.795,25.49,25.605,66600
15/7/2005,25.475,25.545,25.375,25.48,57800
18/7/2005,25.465,25.555,25.41,25.41,51800
19/7/2005,25.530001,25.674999,25.450001,25.67,28200
20/7/2005,25.635,25.924999,25.59,25.889999,199200
21/7/2005,25.865,26.139999,25.68,26.075001,184000
22/7/2005,26.155001,26.155001,25.879999,26.115,51000
25/7/2005,26.004999,26.07,25.674999,25.674999,138800
26/7/2005,25.705,25.834999,25.65,25.82,106200
27/7/2005,25.895,26.02,25.75,26,105400
28/7/2005,26.200001,26.49,26.15,26.469999,74000
29/7/2005,26.299999,26.379999,26.225,26.25,202800
1/8/2005,26.58,26.65,26.424999,26.555,273000
2/8/2005,26.895,27.1,26.895,27.09,111000
3/8/2005,27.129999,27.215,27.045,27.139999,111800
4/8/2005,27.075001,27.105,26.879999,26.924999,72600
5/8/2005,26.83,26.83,26.4,26.5,102000
8/8/2005,26.715,26.950001,26.469999,26.5,87000
9/8/2005,27.035,27.290001,26.99,27.290001,66400
10/8/2005,27.305,27.59,27.129999,27.174999,124800
11/8/2005,27.415001,27.48,27.174999,27.360001,270800
12/8/2005,27.165001,27.290001,26.815001,27.105,625000
15/8/2005,27.09,27.245001,26.934999,27.225,77000
16/8/2005,27.18,27.48,26.695,26.775,241800
17/8/2005,26.940001,26.969999,26.825001,26.875,73400
18/8/2005,26.594999,26.594999,26.375,26.42,58800
19/8/2005,26.504999,26.559999,26.235001,26.35,107000
22/8/2005,26.77,26.860001,26.575001,26.705,98000
23/8/2005,26.575001,26.575001,26.25,26.379999,104400
24/8/2005,26.205,26.33,25.985001,26.045,65200
25/8/2005,26.299999,26.455,26.165001,26.440001,76600
26/8/2005,26.35,26.35,26.15,26.15,60000
29/8/2005,26.155001,26.445,26.02,26.4,120400
30/8/2005,26.065001,26.195,25.98,26.125,493400
31/8/2005,26.309999,26.639999,26.195,26.625,70200
1/9/2005,26.805,26.959999,26.735001,26.895,105000
2/9/2005,27.15,27.23,27.08,27.135,100800
6/9/2005,27.35,27.49,27.25,27.445,329000
7/9/2005,27.405001,27.514999,27.35,27.5,137200
8/9/2005,27.575001,27.59,27.389999,27.51,71400
9/9/2005,27.59,27.875,27.59,27.85,97800
12/9/2005,27.84,27.85,27.709999,27.780001,100400
13/9/2005,27.74,27.74,27.555,27.594999,128000
14/9/2005,27.75,27.799999,27.65,27.719999,83200
15/9/2005,27.82,27.825001,27.700001,27.815001,96600
16/9/2005,27.950001,28.030001,27.815001,28.030001,123000
19/9/2005,27.959999,28.110001,27.875,28.08,83200
20/9/2005,28.264999,28.355,28.049999,28.1,316600
21/9/2005,28.139999,28.285,28.084999,28.200001,102200
22/9/2005,28.15,29.15,27.950001,28.17,83800
23/9/2005,27.805,27.969999,27.695,27.945,96000
26/9/2005,28.174999,28.32,28.014999,28.32,238200
27/9/2005,28.25,28.27,28,28.09,104000
28/9/2005,28.309999,28.309999,28.129999,28.26,72600
29/9/2005,28.555,28.844999,28.459999,28.775,306600
30/9/2005,28.75,28.83,28.635,28.815001,544200
3/10/2005,28.764999,28.860001,28.674999,28.674999,329600
4/10/2005,28.99,28.99,28.625,28.625,186200
5/10/2005,28.52,28.52,28.025,28.09,150400
6/10/2005,27.844999,27.844999,26.924999,27.209999,257000
7/10/2005,27.625,27.684999,27.485001,27.610001,143200
10/10/2005,28.02,28.02,27.645,27.674999,149600
11/10/2005,28.084999,28.084999,27.77,27.799999,152200
12/10/2005,27.75,27.75,27.184999,27.299999,147800
13/10/2005,26.950001,26.950001,26.639999,26.889999,144000
14/10/2005,27.059999,27.059999,26.65,27.025,132000
17/10/2005,27.200001,27.200001,27.09,27.15,212200
18/10/2005,26.924999,26.924999,26.41,26.5,185800
19/10/2005,26.09,26.51,25.91,26.51,358200
20/10/2005,26.584999,26.950001,25.620001,25.645,203000
21/10/2005,26.375,26.51,26.16,26.49,159200
24/10/2005,26.575001,27.105,26.575001,27.084999,121000
25/10/2005,26.745001,26.91,26.455,26.540001,105600
